class,name,ref_count,last_modified,bloat_candidate,notes
command,fix:pr-developer-comments,7,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/fix/pr-developer-comments.md
command,fix:refs,6,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/fix/refs.md
command,fix:seeder,4,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/fix/seeder.md
command,ghostwriter,1005,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/ghostwriter.md
command,ghostwriter:delete,18,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/ghostwriter/delete.md
command,ghostwriter:fetch,57,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/ghostwriter/fetch.md
command,ghostwriter:list,29,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/ghostwriter/list.md
command,ghostwriter:show,27,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/ghostwriter/show.md
command,ghostwriter:write,103,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/ghostwriter/write.md
command,grill-me,39,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/grill-me.md
command,implement-ticket,753,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/implement-ticket.md
command,jira-ticket,112,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/jira-ticket.md
command,judge,1928,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/judge.md
command,judge:on-diff,4,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/judge/on-diff.md
command,judge:solo,4,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/judge/solo.md
command,judge:steps,4,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/judge/steps.md
command,knowledge,898,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/knowledge.md
command,knowledge:forget,7,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/knowledge/forget.md
command,knowledge:ingest,12,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/knowledge/ingest.md
command,knowledge:list,13,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/knowledge/list.md
command,memory,5826,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/memory.md
command,memory:add,6,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/memory/add.md
command,memory:learn-low-impact,4,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/memory/learn-low-impact.md
command,memory:load,31,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/memory/load.md
command,memory:mine-session,14,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/memory/mine-session.md
command,memory:promote,20,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/memory/promote.md
command,memory:propose,10,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/memory/propose.md
command,mode,35081,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/mode.md
command,module,72469,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/module.md
command,module:create,4,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/module/create.md
command,module:explore,4,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/module/explore.md
command,optimize,3131,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/optimize.md
command,optimize-prompt,49,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/optimize-prompt.md
command,optimize:agents-dir,6,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/optimize/agents-dir.md
command,optimize:augmentignore,6,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/optimize/augmentignore.md
command,optimize:rtk,6,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/optimize/rtk.md
command,optimize:skills,4,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/optimize/skills.md
command,orchestrate,142,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/orchestrate.md
command,override,5486,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/override.md
command,override:create,5,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/override/create.md
command,override:manage,4,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/override/manage.md
command,package-reset,34,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/package-reset.md
command,package-test,39,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/package-test.md
command,post-as,243,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/post-as.md
command,post-as:ghostwriter,45,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/post-as/ghostwriter.md
command,post-as:me,50,2026-05-27,N,packages/core/.agent-src.uncondensed/commands/post-as/me.md
command,prepare-for-review,61,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/prepare-for-review.md
command,project-analyze,116,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/project-analyze.md
command,project-health,25,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/project-health.md
command,quality-fix,68,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/quality-fix.md
command,refine-ticket,527,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/refine-ticket.md
command,research,603,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/research.md
command,research:deep,26,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/research/deep.md
command,research:report,28,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/research/report.md
command,review-changes,434,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/review-changes.md
command,review-routing,183,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/review-routing.md
command,roadmap,7860,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/roadmap.md
command,roadmap:ai-council,14,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/roadmap/ai-council.md
command,roadmap:create,53,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/roadmap/create.md
command,roadmap:process-full,52,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/roadmap/process-full.md
command,roadmap:process-phase,51,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/roadmap/process-phase.md
command,roadmap:process-step,47,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/roadmap/process-step.md
command,rule-compliance-audit,25,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/rule-compliance-audit.md
command,set-cost-profile,66,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/set-cost-profile.md
command,sync-agent-settings,38,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/sync-agent-settings.md
command,sync-gitignore,108,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/sync-gitignore.md
command,sync-gitignore:fix,15,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/sync-gitignore/fix.md
command,tests,6750,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/tests.md
command,tests:create,5,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/tests/create.md
command,tests:execute,5,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/tests/execute.md
command,threat-model,361,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/threat-model.md
command,update-form-request-messages,43,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/update-form-request-messages.md
command,upstream-contribute,143,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/upstream-contribute.md
command,video,4835,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/video.md
command,video:from-script,50,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/video/from-script.md
command,video:scene,37,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/video/scene.md
command,video:stitch,25,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/video/stitch.md
command,video:storyboard,27,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/video/storyboard.md
command,work,40200,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/work.md
council_member,anthropic,7,2026-05-26,N,ai-council provider slot
council_member,gemini,6,2026-05-26,N,ai-council provider slot
council_member,openai,7,2026-05-26,N,ai-council provider slot
directive_set,backend,105,2026-05-26,N,work_engine directive set
directive_set,mixed,62,2026-05-26,N,work_engine directive set
directive_set,ui,277,2026-05-26,N,work_engine directive set
directive_set,ui_trivial,1,2026-05-26,Y,work_engine directive set
flow,implement-ticket-flow,86,2026-05-26,N,docs/contracts/implement-ticket-flow.md
flow,ui-track-flow,25,2026-05-26,N,docs/contracts/ui-track-flow.md
flow,workflow-packs,11,2026-05-26,N,docs/contracts/workflow-packs.md
pack,pack-ai-video,16,2026-05-28,N,"total=16, internal=0"
pack,pack-finance-advanced,11,2026-05-28,N,"total=11, internal=0"
pack,pack-finance-basic,23,2026-05-28,N,"total=23, internal=0"
pack,pack-founder-strategy,19,2026-05-28,N,"total=19, internal=0"
pack,pack-gtm-marketing,9,2026-05-28,N,"total=9, internal=0"
pack,pack-gtm-sales,9,2026-05-28,N,"total=9, internal=0"
pack,pack-laravel,37,2026-05-28,N,"total=37, internal=0"
pack,pack-nextjs,5,2026-05-28,N,"total=5, internal=0"
pack,pack-ops-people,12,2026-05-28,N,"total=12, internal=0"
pack,pack-php,11,2026-05-28,N,"total=11, internal=0"
pack,pack-product-basic,12,2026-05-28,N,"total=12, internal=0"
pack,pack-product-discovery,5,2026-05-28,N,"total=5, internal=0"
pack,pack-python,3,2026-05-28,N,"total=3, internal=0"
pack,pack-react,5,2026-05-28,N,"total=5, internal=0"
pack,pack-symfony,5,2026-05-28,N,"total=5, internal=0"
pack,pack-typescript,2,2026-05-28,N,"total=2, internal=0"
persona,ai-agent,55,2026-05-26,N,packages/core/.agent-src.uncondensed/personas/ai-agent.md
persona,ai-video-technical-director,30,2026-05-26,N,packages/core/.agent-src.uncondensed/personas/ai-video-technical-director.md
persona,backend-architect,41,2026-05-26,N,packages/core/.agent-src.uncondensed/personas/backend-architect.md
persona,cmo,301,2026-05-26,N,packages/core/.agent-src.uncondensed/personas/cmo.md
persona,contrarian,62,2026-05-26,N,packages/core/.agent-src.uncondensed/personas/advisors/contrarian.md
persona,critical-challenger,88,2026-05-26,N,packages/core/.agent-src.uncondensed/personas/critical-challenger.md
persona,customer-success-lead,19,2026-05-26,N,packages/core/.agent-src.uncondensed/personas/customer-success-lead.md
persona,developer,17826,2026-05-26,N,packages/core/.agent-src.uncondensed/personas/developer.md
persona,discovery-lead,17,2026-05-26,N,packages/core/.agent-src.uncondensed/personas/discovery-lead.md
persona,eloquent-tamer,22,2026-05-26,N,packages/core/.agent-src.uncondensed/personas/eloquent-tamer.md
persona,engineering-manager,28,2026-05-26,N,packages/core/.agent-src.uncondensed/personas/engineering-manager.md
persona,executor,222,2026-05-26,N,packages/core/.agent-src.uncondensed/personas/advisors/executor.md
persona,expansionist,14,2026-05-26,N,packages/core/.agent-src.uncondensed/personas/advisors/expansionist.md
persona,finance-partner,61,2026-05-26,N,packages/core/.agent-src.uncondensed/personas/finance-partner.md
persona,first-principles,46,2026-05-26,N,packages/core/.agent-src.uncondensed/personas/advisors/first-principles.md
persona,frontend-engineer,50,2026-05-26,N,packages/core/.agent-src.uncondensed/personas/frontend-engineer.md
persona,growth-pm,24,2026-05-26,N,packages/core/.agent-src.uncondensed/personas/growth-pm.md
persona,hollywood-director,35,2026-05-26,N,packages/core/.agent-src.uncondensed/personas/hollywood-director.md
persona,outsider,18,2026-05-26,N,packages/core/.agent-src.uncondensed/personas/advisors/outsider.md
persona,people-strategist,54,2026-05-26,N,packages/core/.agent-src.uncondensed/personas/people-strategist.md
persona,product-owner,86,2026-05-26,N,packages/core/.agent-src.uncondensed/personas/product-owner.md
persona,qa,1870,2026-05-26,N,packages/core/.agent-src.uncondensed/personas/qa.md
persona,revops,32,2026-05-26,N,packages/core/.agent-src.uncondensed/personas/revops.md
persona,revops-maintainer,8,2026-05-26,N,packages/core/.agent-src.uncondensed/personas/revops-maintainer.md
persona,security-engineer,39,2026-05-26,N,packages/core/.agent-src.uncondensed/personas/security-engineer.md
persona,senior-engineer,404,2026-05-26,N,packages/core/.agent-src.uncondensed/personas/senior-engineer.md
persona,stakeholder,298,2026-05-26,N,packages/core/.agent-src.uncondensed/personas/stakeholder.md
persona,strategist,141,2026-05-26,N,packages/core/.agent-src.uncondensed/personas/strategist.md
persona,tech-writer,15,2026-05-26,N,packages/core/.agent-src.uncondensed/personas/tech-writer.md
role,developer,1,2026-05-18,N,enum role-contracts.md
role,incident,0,2026-05-18,Y,enum role-contracts.md
role,planner,0,2026-05-18,Y,enum role-contracts.md
role,po,0,2026-05-18,Y,enum role-contracts.md
role,reviewer,0,2026-05-18,Y,enum role-contracts.md
role,tester,0,2026-05-18,Y,enum role-contracts.md
rule,agent-authority,114,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/agent-authority.md
rule,analysis-skill-routing,39,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/analysis-skill-routing.md
rule,architecture,1455,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/architecture.md
rule,artifact-drafting-protocol,175,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/artifact-drafting-protocol.md
rule,artifact-engagement-recording,69,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/artifact-engagement-recording.md
rule,ask-when-uncertain,508,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/ask-when-uncertain.md
rule,augment-edit-discipline,43,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/augment-edit-discipline.md
rule,augment-source-of-truth,112,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/augment-source-of-truth.md
rule,autonomous-execution,322,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/autonomous-execution.md
rule,cli-output-handling,67,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/cli-output-handling.md
rule,command-suggestion-policy,74,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/command-suggestion-policy.md
rule,commit-conventions,84,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/commit-conventions.md
rule,commit-policy,480,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/commit-policy.md
rule,context-hygiene,114,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/context-hygiene.md
rule,copilot-routing,16,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/copilot-routing.md
rule,devcontainer-routing,16,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/devcontainer-routing.md
rule,direct-answers,318,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/direct-answers.md
rule,docker-commands,48,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/docker-commands.md
rule,domain-adoption-policy,37,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/domain-adoption-policy.md
rule,domain-safety-disclaimer,41,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/domain-safety-disclaimer.md
rule,domain-safety-pii,38,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/domain-safety-pii.md
rule,domain-safety-retention,28,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/domain-safety-retention.md
rule,downstream-changes,52,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/downstream-changes.md
rule,engineering-safety-floor,34,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/engineering-safety-floor.md
rule,external-reference-deep-dive,27,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/external-reference-deep-dive.md
rule,fast-path-marker-visibility,32,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/fast-path-marker-visibility.md
rule,framework-neutrality-in-generic-skills,51,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/framework-neutrality-in-generic-skills.md
rule,git-history-discipline,35,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/git-history-discipline.md
rule,guidelines,1421,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/guidelines.md
rule,improve-before-implement,93,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/improve-before-implement.md
rule,invite-challenge,35,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/invite-challenge.md
rule,language-and-tone,289,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/language-and-tone.md
rule,low-impact-corpus-privacy-floor,35,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/low-impact-corpus-privacy-floor.md
rule,markdown-safe-codeblocks,40,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/markdown-safe-codeblocks.md
rule,media-governance-routing,34,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/media-governance-routing.md
rule,minimal-safe-diff,170,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/minimal-safe-diff.md
rule,missing-tool-handling,26,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/missing-tool-handling.md
rule,model-recommendation,75,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/model-recommendation.md
rule,no-attribution-footers,58,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/no-attribution-footers.md
rule,no-cheap-questions,166,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/no-cheap-questions.md
rule,no-decorative-emojis-in-git-surfaces,18,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/no-decorative-emojis-in-git-surfaces.md
rule,no-pr-progress-comments,15,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/no-pr-progress-comments.md
rule,no-roadmap-references,82,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/no-roadmap-references.md
rule,non-destructive-by-default,484,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/non-destructive-by-default.md
rule,onboarding-gate,105,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/onboarding-gate.md
rule,package-ci-checks,30,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/package-ci-checks.md
rule,persona-governance,51,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/persona-governance.md
rule,preservation-guard,98,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/preservation-guard.md
rule,provider-lifecycle-discipline,33,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/provider-lifecycle-discipline.md
rule,reviewer-awareness,88,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/reviewer-awareness.md
rule,roadmap-ci-steps-policy,75,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/roadmap-ci-steps-policy.md
rule,roadmap-progress-sync,203,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/roadmap-progress-sync.md
rule,role-mode-adherence,87,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/role-mode-adherence.md
rule,rule-type-governance,94,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/rule-type-governance.md
rule,runtime-safety,30,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/runtime-safety.md
rule,scope-control,707,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/scope-control.md
rule,security-sensitive-stop,117,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/security-sensitive-stop.md
rule,size-enforcement,99,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/size-enforcement.md
rule,skill-improvement-trigger,25,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/skill-improvement-trigger.md
rule,skill-quality,234,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/skill-quality.md
rule,slash-command-routing-policy,62,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/slash-command-routing-policy.md
rule,telegraph-speak,141,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/telegraph-speak.md
rule,think-before-action,116,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/think-before-action.md
rule,token-efficiency,167,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/token-efficiency.md
rule,token-optimizer-maintenance,29,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/token-optimizer-maintenance.md
rule,tool-safety,38,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/tool-safety.md
rule,ui-audit-gate,53,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/ui-audit-gate.md
rule,upstream-proposal,24,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/upstream-proposal.md
rule,user-interaction,332,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/user-interaction.md
rule,user-interrupt-priority,64,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/user-interrupt-priority.md
rule,verify-before-complete,509,2026-05-26,N,packages/core/.agent-src.uncondensed/rules/verify-before-complete.md
skill,accessibility-auditor,45,2026-05-26,N,packages/core/.agent-src.uncondensed/skills/accessibility-auditor/SKILL.md
skill,adr-create,150,2026-05-26,N,packages/core/.agent-src.uncondensed/skills/adr-create/SKILL.md
skill,adversarial-review,113,2026-05-26,N,packages/core/.agent-src.uncondensed/skills/adversarial-review/SKILL.md
skill,agent-docs-writing,163,2026-05-26,N,packages/core/.agent-src.uncondensed/skills/agent-docs-writing/SKILL.md
skill,agents-md-thin-root,109,2026-05-26,N,packages/core/.agent-src.uncondensed/skills/agents-md-thin-root/SKILL.md
skill,ai-council,637,2026-05-26,N,packages/core/.agent-src.uncondensed/skills/ai-council/SKILL.md
skill,analysis-autonomous-mode,42,2026-05-26,N,packages/core/.agent-src.uncondensed/skills/analysis-autonomous-mode/SKILL.md
skill,analysis-skill-router,41,2026-05-26,N,packages/core/.agent-src.uncondensed/skills/analysis-skill-router/SKILL.md
skill,api-design,151,2026-05-26,N,packages/core/.agent-src.uncondensed/skills/api-design/SKILL.md
skill,api-endpoint,161,2026-05-26,N,packages/core/.agent-src.uncondensed/skills/api-endpoint/SKILL.md
skill,api-testing,42,2026-05-26,N,packages/core/.agent-src.uncondensed/skills/api-testing/SKILL.md
skill,architecture-review-lens,51,2026-05-26,N,packages/core/.agent-src.uncondensed/skills/architecture-review-lens/SKILL.md
skill,authz-review,129,2026-05-26,N,packages/core/.agent-src.uncondensed/skills/authz-review/SKILL.md
skill,aws-infrastructure,50,2026-05-26,N,packages/core/.agent-src.uncondensed/skills/aws-infrastructure/SKILL.md
skill,blast-radius-analyzer,113,2026-05-26,N,packages/core/.agent-src.uncondensed/skills/blast-radius-analyzer/SKILL.md
skill,bug-analyzer,149,2026-05-26,N,packages/core/.agent-src.uncondensed/skills/bug-analyzer/SKILL.md
skill,check-refs,174,2026-05-26,N,packages/core/.agent-src.uncondensed/skills/check-refs/SKILL.md
skill,code-refactoring,74,2026-05-26,N,packages/core/.agent-src.uncondensed/skills/code-refactoring/SKILL.md
skill,code-review,278,2026-05-26,N,packages/core/.agent-src.uncondensed/skills/code-review/SKILL.md
skill,command-routing,111,2026-05-26,N,packages/core/.agent-src.uncondensed/skills/command-routing/SKILL.md
skill,command-writing,72,2026-05-26,N,packages/core/.agent-src.uncondensed/skills/command-writing/SKILL.md
skill,condense-memory,44,2026-05-26,N,packages/core/.agent-src.uncondensed/skills/condense-memory/SKILL.md
